capability_id,capability_kind,executor_key,attribute_id,modifier_op,granted_tags_json,blocked_tags_json,required_tags_json,impl_status,derived_from,notes_zh
GE_Terrain_PathCost_1,gameplay_effect,,terrain_path_cost_equiv,set,,,,defined,L1_terrain_defs.path_cost_equiv=1,
GE_Terrain_PathCost_2,gameplay_effect,,terrain_path_cost_equiv,set,,,,defined,L1_terrain_defs.path_cost_equiv=2,
GE_Terrain_PathCost_3,gameplay_effect,,terrain_path_cost_equiv,set,,,,defined,L1_terrain_defs.path_cost_equiv=3,
GE_Terrain_PathCost_4,gameplay_effect,,terrain_path_cost_equiv,set,,,,defined,L1_terrain_defs.path_cost_equiv=4,
GE_Terrain_PathCost_5,gameplay_effect,,terrain_path_cost_equiv,set,,,,defined,L1_terrain_defs.path_cost_equiv=5,
GE_Terrain_FacilityBuild_All,gameplay_effect,,,,,,Capability.Build.ProductionStorage;Capability.Build.Terrain,defined,L1_terrain_defs.build_mode=all,
GE_Terrain_FacilityBuild_AuxiliaryOnly,gameplay_effect,,,,Capability.Build.ProductionStorage;Capability.Build.Terrain,,defined,L1_terrain_defs.build_mode=auxiliary_only,
GE_Terrain_FacilityBuild_None,gameplay_effect,,,,Capability.Build,,defined,L1_terrain_defs.build_mode=none,
GE_Terrain_BlockUnitEnter,gameplay_effect,,,,Capability.Move.Enter,,defined,L1_terrain_defs.unit_enter_allowed=false,
GE_FacilityAllow_Bridge,gameplay_effect,,,,Allow.Build.bridge,,defined,_program.build_grant_tags.bridge,
GE_FacilityAllow_Tunnel,gameplay_effect,,,,Allow.Build.tunnel,,defined,_program.build_grant_tags.tunnel,
GE_FacilityAllow_RecruitmentOffice,gameplay_effect,,,,Allow.Build.recruitment_office,,defined,_program.build_grant_tags.recruitment_office,
GE_FacilityAllow_MineExtraction,gameplay_effect,,,,Allow.Build.mine_extraction,,defined,_program.build_grant_tags.mine_extraction,
GE_FacilityAllow_OrchardStation,gameplay_effect,,,,Allow.Build.orchard_station,,defined,_program.build_grant_tags.orchard_station,
GE_FacilityAllow_EnergyStation,gameplay_effect,,,,Allow.Build.energy_station,,defined,_program.build_grant_tags.energy_station,
GA_TerrainFlattenToPlain,gameplay_ability,TryTerrainFlatten,,,,Terrain.Hill;Capability.Build,defined,L1_terrain_defs.terrain_id=hill,丘陵平整；策划见能力说明.csv
GA_TerrainRule_MobileCityCrossRift,gameplay_ability,EvaluateMobileCityCrossableFootprint,,,,Actor.MobileCity,defined,L1_terrain_defs.mobile_city_pass=crossable,
